form	wsafter
Szokatlanul	" "
nagy	" "
felzúdulást	" "
váltott	" "
ki	" "
a	" "
korábban	" "
széles	" "
társadalmi	" "
támogatottsággal	" "
bíró	" "
pedofilellenes	" "
törvény	""
,	" "
amit	" "
végül	" "
egy	" "
a	" "
melegeket	" "
durván	" "
megbélyegző	" "
kiegészítéssel	" "
fogadott	" "
el	" "
a	" "
parlament	""
.	" "

A	" "
Telex	" "
Gyorstalpalóban	" "
ezúttal	" "
azt	" "
járjuk	" "
körül	""
,	" "
miről	" "
szól	" "
pontosan	""
,	" "
mi	" "
a	" "
szülő	" "
joga	""
,	" "
milyen	" "
célt	" "
szolgálhat	" "
az	" "
új	" "
jogszabály	" "
melegellenes	" "
része	""
,	" "
átmehet	""
-e	" "
tényleg	" "
a	" "
gyakorlatba	""
,	" "
és	" "
milyen	" "
következményekkel	" "
számolhat	" "
a	" "
kormány	" "
amiatt	""
,	" "
hogy	" "
ennyire	" "
szembefordult	" "
az	" "
uniós	" "
konszenzussal	""
.	"\n\n"

Miért	" "
mondják	" "
azt	""
,	" "
hogy	" "
a	" "
törvény	" "
összemossa	" "
a	" "
pedofilokat	" "
a	" "
melegekkel	""
?	"\n\n"

Mert	" "
egy	" "
alapvetően	" "
a	" "
pedofil	" "
bűnelkövetőkről	" "
szóló	" "
jogszabályba	" "
került	" "
bele	" "
utólag	" "
a	" "
szexuális	" "
kisebbségekre	" "
vonatkozó	" "
kiegészítés	""
.	" "

Ez	" "
még	" "
akkor	" "
is	" "
az	" "
LMBTQI	" "
embereket	" "
megbélyegző	" "
hatást	" "
kelt	""
,	" "
ha	" "
a	" "
szóban	" "
forgó	" "
részlet	" "
nem	" "
állítja	""
,	" "
hogy	" "
ők	" "
pedofilok	" "
(	""
vagy	" "
a	" "
pedofilokkal	" "
egyenértékűek	""
)	" "
lennének	""
,	" "
hiszen	" "
a	" "
nemi	" "
identitás	" "
és	" "
a	" "
szexuális	" "
orientáció	" "
kérdéseit	" "
mégiscsak	" "
valamilyen	" "
szinten	" "
egy	" "
kalap	" "
alá	" "
veszi	" "
a	" "
bűncselekményi	" "
kategóriának	" "
számító	" "
pedofíliával	""
.	" "

A	" "
kormány	" "
magyarázata	" "
szerint	" "
a	" "
két	" "
dolog	" "
(	""
a	" "
pedofília	" "
és	" "
a	" "
szexuális	" "
kisebbségek	""
)	" "
a	" "
gyermekek	" "
védelmének	" "
témájánál	" "
ér	" "
össze	""
.	"\n\n"

Akkor	" "
mennyiben	" "
igaz	" "
az	""
,	" "
amit	" "
a	" "
kormány	" "
állít	" "
szerint	" "
ez	" "
a	" "
törvény	" "
a	" "
gyerekekről	" "
szól	""
?	"\n\n"

Az	" "
igaz	""
,	" "
hogy	" "
a	" "
pedofilok	" "
elleni	" "
fellépés	" "
és	" "
a	" "
gyerekek	" "
védelme	" "
egyaránt	" "
szerepelt	" "
a	" "
fideszes	" "
képviselők	" "
által	" "
benyújtott	" "
törvényjavaslat	" "
címében	" "
(	""
A	" "
pedofil	" "
bűnelkövetőkkel	" "
